,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,st_met,sy_snum,sy_pnum,sy_dist,esi,p_habitable,pl_name
0,13.9,280.64248,0.574,30.33,0.194,4816.0,12.19,1.05,-0.78,1,1,95.9863,0.2693349359520874,1,24 Boo b
1,13.9,263.9785,0.54,14.6516,0.1134,5172.0,0.94,0.91,0.35,2,5,12.5855,0.2628992672543198,1,55 Cnc b
2,8.51,54.4738,0.486,44.3989,0.2373,5172.0,0.94,0.91,0.35,2,5,12.5855,0.2725928971790241,1,55 Cnc c
3,13.0,1232.493,3.08,5574.2,5.957,5172.0,0.94,0.91,0.35,2,5,12.5855,0.21446299401170446,1,55 Cnc d
4,1.875,7.99,6.66,0.7365474,0.01544,5172.0,0.94,0.91,0.35,2,5,12.5855,0.532371156622014,1,55 Cnc e
5,7.59,44.812,0.563,259.88,0.7708,5172.0,0.94,0.91,0.35,2,5,12.5855,0.38607547004189285,1,55 Cnc f
6,2.11,5.1,2.98,4.215,0.050201,5577.0,0.96,0.94,-0.01,1,3,8.50332,0.44450640878197456,1,61 Vir b
7,4.46,18.2,1.13,38.021,0.2175,5577.0,0.96,0.94,-0.01,1,3,8.50332,0.2970953972321093,1,61 Vir c
8,5.11,22.9,0.943,123.01,0.476,5577.0,0.96,0.94,-0.01,1,3,8.50332,0.3227157408439618,1,61 Vir d
9,3.957,20.12,1.32,8.4629991,0.0645,3665.0,0.82,0.5,0.12,1,3,9.7221,0.2986467535466995,1,AU Mic b
10,3.24,9.6,1.22,18.858991,0.1101,3665.0,0.82,0.5,0.12,1,3,9.7221,0.31762900864801846,1,AU Mic c
11,2.85,8.5,2.02,3.8728,0.0428,4324.0,0.69,0.7,-0.14,1,2,20.2695,0.35327512663837607,1,BD-06 1339 b
12,8.38,53.0,0.495,125.94,0.435,4324.0,0.69,0.7,-0.14,1,2,20.2695,0.3074742753888013,1,BD-06 1339 c
13,3.61,12.7132,1.48,5.6,0.06,4816.0,0.71,0.5,-0.06,1,2,41.3342,0.309444590701561,1,BD-08 2823 b
14,12.5,104.0,0.293,237.6,0.68,4746.0,0.72,0.74,-0.07,1,2,41.3342,0.36434378154888797,1,BD-08 2823 c
15,14.1,206.5895,0.405,1634.0,2.36,4550.0,0.64,0.65,-0.35,1,2,27.1665,0.1423146358942566,1,BD-11 4672 b
16,4.04,15.37,1.28,74.2,0.3,4550.0,0.64,0.65,-0.35,1,2,27.1665,0.3208874353879239,1,BD-11 4672 c
17,14.0,214.0,0.429,1891.0,2.63,4051.0,0.75,0.68,0.12,1,2,23.7324,0.13766966728540178,1,BD-210397 b
18,12.9,1525.57635,3.91,6240.0,5.9,4051.0,0.75,0.69,0.12,1,2,23.7324,0.24932844454946249,1,BD-210397 c
19,0.764,0.37,4.56,3.1533,0.02294,3195.0,0.18,0.16,-0.56,1,1,1.82655,0.6674935683331377,1,Barnard b
20,1.82,3.95,3.6,2.2907,0.0185,3130.0,0.17,0.16,0.13,1,1,8.60715,0.5058945384299708,1,CD Cet b
21,1.681,4.07661,9.355,0.85359163,0.017016,5275.0,0.83,0.82,0.05,1,3,159.906,0.4575062622060848,1,CoRoT-7 b
22,2.83,8.4,2.04,3.698,0.046,5256.0,0.86,0.9,0.06,1,3,159.906,0.3549180075031843,1,CoRoT-7 c
23,1.41,2.58,5.06,6.6732,0.0662,5138.0,0.91,0.87,0.18,2,1,45.23,0.6532963398895374,1,DMPP-3 A b
24,1.047,1.15,5.51,6.7987,0.0349,3648.0,0.28,0.29,-0.048,1,1,134.0,0.7762928701396855,2,EPIC 201170410.02
