Unnamed: 0,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,st_met,sy_snum,sy_pnum,sy_dist,esi,p_habitable,pl_name,ra,dec,travel_time_years
0,13.9,280.64248,0.574,30.33,0.194,4816.0,12.19,1.05,-0.78,1,1,95.9863,0.2693349359520874,1,24 Boo b,217.1555242,49.8446488,1252.2727679761617
1,13.9,263.9785,0.54,14.6516,0.1134,5172.0,0.94,0.91,0.35,2,5,12.5855,0.2628992672543198,1,55 Cnc b,133.1468373,28.3298154,164.19508743814467
2,8.51,54.4738,0.486,44.3989,0.2373,5172.0,0.94,0.91,0.35,2,5,12.5855,0.2725928971790241,1,55 Cnc c,133.1468373,28.3298154,164.19508743814467
3,13.0,1232.493,3.08,5574.2,5.957,5172.0,0.94,0.91,0.35,2,5,12.5855,0.2144629940117044,1,55 Cnc d,133.1468373,28.3298154,164.19508743814467
4,1.875,7.99,6.66,0.7365474,0.01544,5172.0,0.94,0.91,0.35,2,5,12.5855,0.532371156622014,1,55 Cnc e,133.1468373,28.3298154,164.19508743814467
5,7.59,44.812,0.563,259.88,0.7708,5172.0,0.94,0.91,0.35,2,5,12.5855,0.3860754700418928,1,55 Cnc f,133.1468373,28.3298154,164.19508743814467
6,2.11,5.1,2.98,4.215,0.050201,5577.0,0.96,0.94,-0.01,1,3,8.50332,0.4445064087819745,1,61 Vir b,199.596455,-18.3157745,110.93745746410745
7,4.46,18.2,1.13,38.021,0.2175,5577.0,0.96,0.94,-0.01,1,3,8.50332,0.2970953972321093,1,61 Vir c,199.596455,-18.3157745,110.93745746410745
8,5.11,22.9,0.943,123.01,0.476,5577.0,0.96,0.94,-0.01,1,3,8.50332,0.3227157408439618,1,61 Vir d,199.596455,-18.3157745,110.93745746410745
9,3.957,20.12,1.32,8.4629991,0.0645,3665.0,0.82,0.5,0.12,1,3,9.7221,0.2986467535466995,1,AU Mic b,311.2911369,-31.34245,126.83811207996396
10,3.24,9.6,1.22,18.858991,0.1101,3665.0,0.82,0.5,0.12,1,3,9.7221,0.3176290086480184,1,AU Mic c,311.2911369,-31.34245,126.83811207996396
11,2.85,8.5,2.02,3.8728,0.0428,4324.0,0.69,0.7,-0.14,1,2,20.2695,0.353275126638376,1,BD-06 1339 b,88.2511811,-5.9963378,264.4433931768681
12,8.38,53.0,0.495,125.94,0.435,4324.0,0.69,0.7,-0.14,1,2,20.2695,0.3074742753888013,1,BD-06 1339 c,88.2511811,-5.9963378,264.4433931768681
13,3.61,12.7132,1.48,5.6,0.06,4816.0,0.71,0.5,-0.06,1,2,41.3342,0.309444590701561,1,BD-08 2823 b,150.1971964,-9.5165689,539.2612596389305
14,12.5,104.0,0.293,237.6,0.68,4746.0,0.72,0.74,-0.07,1,2,41.3342,0.3643437815488879,1,BD-08 2823 c,150.1971964,-9.5165689,539.2612596389305
15,14.1,206.5895,0.405,1634.0,2.36,4550.0,0.64,0.65,-0.35,1,2,27.1665,0.1423146358942566,1,BD-11 4672 b,278.3688659,-11.6370481,354.4242058629659
16,4.04,15.37,1.28,74.2,0.3,4550.0,0.64,0.65,-0.35,1,2,27.1665,0.3208874353879239,1,BD-11 4672 c,278.3688659,-11.6370481,354.4242058629659
17,14.0,214.0,0.429,1891.0,2.63,4051.0,0.75,0.68,0.12,1,2,23.7324,0.1376696672854017,1,BD-210397 b,33.3024198,-21.1962147,309.6216672454034
18,12.9,1525.57635,3.91,6240.0,5.9,4051.0,0.75,0.69,0.12,1,2,23.7324,0.2493284445494624,1,BD-210397 c,33.3024198,-21.1962147,309.6216672454034
19,0.764,0.37,4.56,3.1533,0.02294,3195.0,0.18,0.16,-0.56,1,1,1.82655,0.6674935683331377,1,Barnard b,269.4486144,4.7379808,23.829846804667525
20,1.82,3.95,3.6,2.2907,0.0185,3130.0,0.17,0.16,0.13,1,1,8.60715,0.5058945384299708,1,CD Cet b,48.3530155,4.7751881,112.29206204308348
21,1.681,4.07661,9.355,0.85359163,0.017016,5275.0,0.83,0.82,0.05,1,3,159.906,0.4575062622060848,1,CoRoT-7 b,100.9561682,-1.0630076,2086.192813307692
22,2.83,8.4,2.04,3.698,0.046,5256.0,0.86,0.9,0.06,1,3,159.906,0.3549180075031843,1,CoRoT-7 c,100.9561682,-1.0630076,2086.192813307692
23,1.41,2.58,5.06,6.6732,0.0662,5138.0,0.91,0.87,0.18,2,1,45.23,0.6532963398895374,1,DMPP-3 A b,91.624382,-72.5126648,590.0873072049011
24,1.047,1.15,5.51,6.7987,0.0349,3648.0,0.28,0.29,-0.048,1,1,134.0,0.7762928701396855,2,EPIC 201170410.02,170.1408561,-4.8070039,1748.2135566097004
25,0.908,0.688,5.05,2.0478,0.0296,4520.0,0.66,0.73,-0.003,1,1,577.6,0.7339860676859343,1,EPIC 201757695.02,173.9385102,4.6164303,7535.583211177336
26,1.04,1.12,5.47,4.1698,0.035,5053.0,0.63,0.8,0.0,1,1,436.488,0.7752198406817162,2,EPIC 201841433 b,175.206752,6.1348146,5694.583872369067
27,1.92,4.35,3.38,21.1701963,0.1195,4057.0,0.58,0.62,0.2,1,1,186.197,0.4892447960126067,1,EPIC 211822797 b,130.4102091,17.6399744,2429.194922388481
